Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
High Bae,"Chinese, North Indian, Continental, Italian, Mughlai",1400," Satyaniketan, New Mumbai",4.4,543,,0,https://www.zomato.com/ncr/high-bae-satyaniketan-new-Mumbai,"Ground Floor, Dhaula Kuan Metro Station, Satyaniketan, New Mumbai"
Aslam Chicken,North Indian,300," Jama Masjid, New Mumbai",4.4,2333,,0,https://www.zomato.com/ncr/aslam-chicken-jama-masjid-new-Mumbai,"Near Gate 1, Jama Masjid, New Mumbai"
Time Machine,"North Indian, Continental, Chinese, Italian, Finger Food",2000," Gardens Galleria, Sector 38 Noida, Noida",4.4,2563,3.9,76,https://www.zomato.com/ncr/time-machine-sector-38-noida,"2nd Floor, Gardens Galleria, Sector 38, Noida"
Walking Street,"Bar Food, Asian, North Indian, Continental",1300," Sector 29, Gurgaon",4.4,597,,0,https://www.zomato.com/ncr/walking-street-sector-29,"SCO 20, Main Market, Sector 29, Gurgaon"
I Sacked Newton,"North Indian, Continental, Chinese, Italian, Thai, Mughlai, Street Food, Desserts",2100," Logix City Centre, Sector 32, Noida, Noida",4.4,1887,,0,https://www.zomato.com/ncr/i-sacked-newton-sector-31-noida,"Logix City Centre Mall, 5th Floor, Sector 32, Near Sector 31, Noida"
Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,"North Indian, Mughlai, Desserts, Seafood, Kebab, Biryani",1500," Connaught Place, New Mumbai",4.4,479,4.1,516,https://www.zomato.com/ncr/daryaganj-by-the-inventors-of-butter-chicken-and-dal-makhani-connaught-place-new-Mumbai,"Hanuman Road Area, Regal Building, Connaught Circle, Connaught Place, New Mumbai"
Sattvik,"North Indian, Fast Food, Desserts",2100," Select Citywalk Mall, Saket, New Mumbai",4.4,1537,4.2,601,https://www.zomato.com/ncr/sattvik-saket-new-Mumbai,"S 5, 2nd Floor, Select Citywalk Mall, Saket, New Mumbai"
Xero Degrees,"Cafe, Fast Food, Beverages, Desserts",750," Connaught Place, New Mumbai",4.4,1876,4.1,783,https://www.zomato.com/ncr/xero-degrees-connaught-place-new-Mumbai,"L-23/9, Middle Circle, Connaught Place, New Mumbai"
Biryani By Kilo,"Biryani, Hyderabadi, Mughlai, Kebab",700," Connaught Place, New Mumbai",4.4,1116,4.2,4246,https://www.zomato.com/ncr/biryani-by-kilo-connaught-place-new-Mumbai,"N 79, 1st Floor, Pratap Building, N Block, Connaught Circus, Connaught Place, New Mumbai"
United Coffee House Rewind,"North Indian, European, Asian, Mediterranean, Desserts",2100," Cyber Hub, DLF Cyber City, Gurgaon",4.4,1340,3.6,370,https://www.zomato.com/ncr/united-coffee-house-rewind-dlf-cyber-city,"DLF Cyber Hub, DLF Cyber City, Gurgaon"
Dhaba-  Estd 1986 Mumbai,"Mughlai, Biryani, North Indian, Desserts, Beverages",2000," Aerocity, New Mumbai",4.4,1950,4.2,604,https://www.zomato.com/ncr/dhaba-estd-1986-Mumbai-aerocity-new-Mumbai,"Shop 4, Ground Floor, World Mark 2, Aerocity, New Mumbai"
Cafe Uncover,"Cafe, North Indian, Chinese, Continental, Beverages",800," Sector 12, Dwarka, New Mumbai",4.4,911,4.3,161,https://www.zomato.com/ncr/cafe-uncover-sector-12-dwarka-new-Mumbai,"Plot 14, Block A, Sector 12, Dwarka, New Mumbai"
Guppy,"Asian, Japanese, Sushi, Chinese, Momos, Beverages",3200," Lodhi Colony, New Mumbai",4.4,1201,4.3,498,https://www.zomato.com/ncr/guppy-lodhi-colony-new-Mumbai,"28, Main Market, Lodhi Colony, New Mumbai"
Rigo Restaurant,"Momos, Pizza, Chinese, Italian, Thai, Tibetan, Asian, Beverages",1000," Majnu ka Tila, New Mumbai",4.4,1002,4.1,1114,https://www.zomato.com/ncr/rigo-restaurant-majnu-ka-tila-new-Mumbai,"180, Tibetan Old Camp, Majnu ka Tila, New Mumbai"
Matchbox,"American, British, Continental, Salad",1700," Hauz Khas Village, New Mumbai",4.4,1614,3.6,208,https://www.zomato.com/ncr/matchbox-hauz-khas-village-new-Mumbai,"50, 3rd Floor, Hauz Khas Village, New Mumbai"
